Word	type	syllable	V_Quality	ID	Iteration	stress_level	stress_type	quality	Vowel_Duration_(ms)
aazvaa_	CVVC	vaa_	aa	MS0	1	phrase	secondary	1	145.7044433
aazvaa_	CVVC	vaa_	aa	MS0	1	word	secondary	1	121.553
bazvaa_	CVVC	vaa_	aa	MS0	1	phrase	primary	1	125.7873378
bazvaa_	CVVC	vaa_	aa	MS0	1	word	primary	1	95.33166144
daa_daar	CVVC	daar	aa	MS0	1	phrase	secondary	1	157.5951827
daa_daar	CVVC	daar	aa	MS0	1	word	secondary	1	116.5767239
_aa_gaar	CVVC	gaar	aa	MS0	1	phrase	secondary	1	181.2053571
_aa_gaar	CVVC	gaar	aa	MS0	1	word	secondary	1	144.540625
d_oondaar	CVVC	daar	aa	MS0	1	phrase	secondary	2	179.5482678
d_oondaar	CVVC	daar	aa	MS0	1	word	secondary	2	148.1687917
_eekii	CVV	_ee	ee	MS0	1	phrase	primary	2	131.8689236
_eekii	CVV	_ee	ee	MS0	1	word	primary	2	119.7238863
_eekiiz	CVV	_ee	ee	MS0	1	phrase	secondary	1	151.5122753
_eekiiz	CVV	_ee	ee	MS0	1	word	secondary	1	117.6656078
gandgii	CVCC	gand	a	MS0	1	phrase	unstressed	1	62.71377518
gandgii	CVCC	gand	a	MS0	1	word	unstressed	1	51.82423007
gandyo	CVCC	gand	a	MS0	1	phrase	primary	3	74.2490625
gandyo	CVCC	gand	a	MS0	1	word	primary	3	62.47406046
ga_ku	CVC	ga_	a	MS0	1	word	primary	1	87.10109267
ga_ku	CVC	ga_	a	MS0	1	phrase	primary	1	73.68194444
ga_kuu	CVC	ga_	a	MS0	1	phrase	unstressed	1	86.69435377
ga_kuu	CVC	ga_	a	MS0	1	word	unstressed	1	65.53236586
godaa_	CVVC	daa_	aa	MS0	1	phrase	primary	1	178.1682367
godaa_	CVVC	daa_	aa	MS0	1	word	primary	1	161.0258719
kaa_aa	CVV	kaa	aa	MS0	1	phrase	primary	1	150.2186849
kaa_aa	CVV	kaa	aa	MS0	1	word	primary	1	104.8493108
kaa_aaz	CVV	kaa	aa	MS0	1	phrase	secondary	1	140.9322181
kaa_aaz	CVV	kaa	aa	MS0	1	word	secondary	1	122.0869391
kaardaar	CVVC	daar	aa	MS0	1	phrase	secondary	1	178.1032449
kaardaar	CVVC	daar	aa	MS0	1	word	secondary	1	133.0952597
kaca	CV	ka	a	MS0	1	phrase	primary	1	74.46895143
kaca	CV	ka	a	MS0	1	word	primary	1	77.78564815
kacar	CV	ka	a	MS0	1	phrase	unstressed	1	71.49879772
kacar	CV	ka	a	MS0	1	word	unstressed	1	53.72138111
kadaar	CVVC	daar	aa	MS0	1	phrase	primary	1	189.7473876
kadaar	CVVC	daar	aa	MS0	1	word	primary	1	143.3207774
k_aba	CV	k_a	a	MS0	1	phrase	primary	1	69.36645833
k_aba	CV	k_a	a	MS0	1	word	primary	1	62.53891882
k_abaa_	CV	k_a	a	MS0	1	phrase	unstressed	1	56.49684247
k_abaa_	CV	k_a	a	MS0	1	word	unstressed	1	51.374958
la_gaar	CVVC	gaar	aa	MS0	1	phrase	primary	1	147.8739831
la_gaar	CVVC	gaar	aa	MS0	1	word	primary	1	130.1100725
maza	CV	ma	a	MS0	1	phrase	primary	1	102.1700778
maza	CV	ma	a	MS0	1	word	primary	1	81.49285564
mazar	CV	ma	a	MS0	1	phrase	unstressed	1	95.50092155
mazar	CV	ma	a	MS0	1	word	unstressed	1	76.78130357
mazdaar	CVVC	daar	aa	MS0	1	phrase	primary	1	164.8275207
mazdaar	CVVC	daar	aa	MS0	1	word	primary	1	133.7933621
pat_re	CVC	pat_	a	MS0	1	phrase	primary	1	75.91636473
pat_re	CVC	pat_	a	MS0	1	word	primary	1	69.2091557
pat_reez	CVC	pat_	a	MS0	1	phrase	unstressed	1	71.9619403
pat_reez	CVC	pat_	a	MS0	1	word	unstressed	1	54.46020312
peekiiz	CVV	pee	ee	MS0	1	phrase	secondary	1	131.5449074
peekiiz	CVV	pee	ee	MS0	1	word	secondary	1	115.8337674
yaka	CV	ya	a	MS0	1	phrase	primary	1	93.49828644
yaka	CV	ya	a	MS0	1	word	primary	3	79.24305556
yaka_	CV	ya	a	MS0	1	phrase	unstressed	1	93.92650051
yaka_	CV	ya	a	MS0	1	word	unstressed	2	68.49754902
aazvaa_	CVVC	vaa_	aa	MS0	2	phrase	secondary	2	120.7233967
aazvaa_	CVVC	vaa_	aa	MS0	2	word	secondary	1	108.2296972
bazvaa_	CVVC	vaa_	aa	MS0	2	phrase	primary	2	131.6618336
bazvaa_	CVVC	vaa_	aa	MS0	2	word	primary	1	92.39115919
bee_ii	CVV	bee	e___	MS0	2	phrase	primary	2	111.778538
bee_ii	CVV	bee	e___	MS0	2	word	primary	2	136.2177575
bee_iiz	CVV	bee	e___	MS0	2	phrase	secondary	1	154.0658865
bee_iiz	CVV	bee	e___	MS0	2	word	secondary	1	118.4466667
daa_daar	CVVC	daar	aa	MS0	2	phrase	secondary	2	155.1697654
daa_daar	CVVC	daar	aa	MS0	2	word	secondary	1	129.5795079
gandgii	CVCC	gand	a	MS0	2	phrase	unstressed	1	70.3706532
gandgii	CVCC	gand	a	MS0	2	word	unstressed	1	57.98318839
